cell,K,n,m,rep,method,time,geom,delta,F,Fref,ref_exact,hit,gap,agree_ref,acc0,ari0,R_tm
K2-cross-n100,2,100,8,62,vote,0.067314718151465,cross,9.0,98.5792679432994,98.57926794329916,True,True,2.220446049250313e-15,1.0,0.91,0.6690403382114586,288.0
K2-cross-n100,2,100,8,62,vote+pol,0.0674722262192517,cross,9.0,98.5792679432994,98.57926794329916,True,True,2.220446049250313e-15,1.0,0.91,0.6690403382114586,288.0
K2-cross-n100,2,100,8,62,param+pol,0.0343480659648776,cross,9.0,98.5792679432994,98.57926794329916,True,True,2.220446049250313e-15,1.0,0.91,0.6690403382114586,288.0
K2-cross-n100,2,100,8,62,bestB,0.028885395033285,cross,9.0,98.5792679432994,98.57926794329916,True,True,2.220446049250313e-15,1.0,0.91,0.6690403382114586,288.0
K2-cross-n100,2,100,8,62,bestB+pol,0.0290234871208667,cross,9.0,98.5792679432994,98.57926794329916,True,True,2.220446049250313e-15,1.0,0.91,0.6690403382114586,288.0
K2-cross-n100,2,100,8,62,local-vote+pol,0.0604850009549409,cross,9.0,98.5792679432994,98.57926794329916,True,True,2.220446049250313e-15,1.0,0.91,0.6690403382114586,288.0
K2-cross-n100,2,100,8,62,ms-vote+pol,0.1107179208192974,cross,9.0,98.5792679432994,98.57926794329916,True,True,2.220446049250313e-15,1.0,0.91,0.6690403382114586,288.0
K2-cross-n100,2,100,8,62,HA10,0.0015188220422714,cross,9.0,98.5792679432994,98.57926794329916,True,True,2.220446049250313e-15,1.0,0.91,0.6690403382114586,288.0
K2-cross-n100,2,100,8,62,HA10-part,0.0005744940135627,cross,9.0,98.5792679432994,98.57926794329916,True,True,2.220446049250313e-15,1.0,0.91,0.6690403382114586,288.0
K2-cross-n100,2,100,8,62,HA-tm,0.0675132169853895,cross,9.0,98.5792679432994,98.57926794329916,True,True,2.220446049250313e-15,1.0,0.91,0.6690403382114586,288.0
K2-cross-n100,2,100,8,62,emEM10,0.0027544130571186,cross,9.0,98.5792679432994,98.57926794329916,True,True,2.220446049250313e-15,1.0,0.91,0.6690403382114586,288.0
K2-par-d2,2,200,8,14,vote,0.0336862471885979,par,2.0,153.6029631585106,145.2391380020409,True,False,0.0575865794270422,0.91,0.835,0.4461119334413706,116.0
K2-par-d2,2,200,8,14,vote+pol,0.0338535991031676,par,2.0,145.68878656913725,145.2391380020409,True,False,0.0030959187260533,0.97,0.855,0.5015861206128042,116.0
K2-par-d2,2,200,8,14,param+pol,0.0333963129669427,par,2.0,145.68878656913725,145.2391380020409,True,False,0.0030959187260533,0.97,0.855,0.5015861206128042,116.0
K2-par-d2,2,200,8,14,bestB,0.0291298951487988,par,2.0,145.49958062602585,145.2391380020409,True,False,0.0017931986348009,0.975,0.84,0.459642405851999,116.0
K2-par-d2,2,200,8,14,bestB+pol,0.0293144299648702,par,2.0,145.2469589525721,145.2391380020409,True,False,5.384878097447477e-05,0.995,0.84,0.4596583007876265,116.0
K2-par-d2,2,200,8,14,local-vote+pol,0.0622855280525982,par,2.0,148.30391443344263,145.2391380020409,True,False,0.0211015878609708,0.84,0.855,0.5016058553767958,116.0
K2-par-d2,2,200,8,14,ms-vote+pol,0.114612519973889,par,2.0,145.68878656913725,145.2391380020409,True,False,0.0030959187260533,0.97,0.855,0.5015861206128042,116.0
K2-par-d2,2,200,8,14,HA10,0.0019003800116479,par,2.0,145.2469589525721,145.2391380020409,True,False,5.384878097447477e-05,0.995,0.84,0.4596583007876265,116.0
K2-par-d2,2,200,8,14,HA10-part,0.0010781050659716,par,2.0,145.41382139976736,145.2391380020409,True,False,0.0012027295130601,0.96,0.855,0.5015957062647948,116.0
K2-par-d2,2,200,8,14,HA-tm,0.0340914400294423,par,2.0,145.23913800203877,145.2391380020409,True,True,-1.4654943925052066e-14,1.0,0.835,0.4460931340173907,116.0
