seed,method,agree_own_clean,agree_zhat_clean,ref_agree_zhat
8,emEM10,0.9481481481481482,0.7481481481481481,0.7933333333333333
8,vote,0.9259259259259259,0.8666666666666667,0.9133333333333333
8,median,0.9333333333333333,0.9259259259259259,0.94
8,adapt,1.0,0.8518518518518519,0.8666666666666667
8,TA-rw(0.25),1.0,0.8518518518518519,0.8666666666666667
8,TA50(a=0.05),0.5333333333333333,0.6148148148148148,0.9266666666666666
8,TA50(a=0.10),0.8592592592592593,1.0,0.8733333333333333
8,TA50(a=0.25),0.9851851851851852,0.8518518518518519,0.8666666666666667
8,bestB-trim(a=0.10),0.8592592592592593,1.0,0.8733333333333333
9,HA50,0.6074074074074074,0.6074074074074074,1.0
9,emEM10,0.9407407407407408,0.725925925925926,0.7933333333333333
9,vote,0.8222222222222222,0.8740740740740741,0.9133333333333333
9,median,0.9555555555555556,0.9629629629629629,0.94
9,adapt,1.0,0.8666666666666667,0.8666666666666667
9,TA-rw(0.25),1.0,0.8666666666666667,0.8666666666666667
9,TA50(a=0.05),0.5185185185185185,0.6,0.9266666666666666
9,TA50(a=0.10),0.8444444444444444,0.9555555555555556,0.8733333333333333
9,TA50(a=0.25),0.9925925925925926,0.8592592592592593,0.8666666666666667
9,bestB-trim(a=0.10),0.8740740740740741,1.0,0.8733333333333333
10,HA50,0.6148148148148148,0.6148148148148148,1.0
10,emEM10,0.9481481481481482,0.7333333333333333,0.7933333333333333
10,vote,0.9259259259259259,0.8814814814814815,0.9133333333333333
10,median,0.9555555555555556,0.8888888888888888,0.94
10,adapt,0.9925925925925926,0.8666666666666667,0.8666666666666667
10,TA-rw(0.25),0.9925925925925926,0.8666666666666667,0.8666666666666667
10,TA50(a=0.05),0.5481481481481482,0.6148148148148148,0.9266666666666666
10,TA50(a=0.10),0.8814814814814815,0.9925925925925926,0.8733333333333333
10,TA50(a=0.25),1.0,0.8666666666666667,0.8666666666666667
10,bestB-trim(a=0.10),0.8814814814814815,0.9925925925925926,0.8733333333333333
11,HA50,0.6222222222222222,0.6222222222222222,1.0
11,emEM10,0.9407407407407408,0.7407407407407407,0.7933333333333333
11,vote,0.9555555555555556,0.9185185185185185,0.9133333333333333
11,median,0.8666666666666667,0.8074074074074075,0.94
11,adapt,1.0,0.8592592592592593,0.8666666666666667
11,TA-rw(0.25),1.0,0.8592592592592593,0.8666666666666667
11,TA50(a=0.05),0.5407407407407407,0.6222222222222222,0.9266666666666666
11,TA50(a=0.10),0.8962962962962963,0.9703703703703703,0.8733333333333333
11,TA50(a=0.25),0.9851851851851852,0.8592592592592593,0.8666666666666667
11,bestB-trim(a=0.10),0.8888888888888888,0.9629629629629629,0.8733333333333333
12,HA50,0.5851851851851851,0.5851851851851851,1.0
12,emEM10,0.9481481481481482,0.7185185185185186,0.7933333333333333
12,vote,0.9333333333333333,0.8888888888888888,0.9133333333333333
12,median,0.8666666666666667,0.8148148148148148,0.94
12,adapt,1.0,0.8740740740740741,0.8666666666666667
12,TA-rw(0.25),0.9925925925925926,0.8814814814814815,0.8666666666666667
12,TA50(a=0.05),0.5111111111111111,0.5851851851851851,0.9266666666666666
12,TA50(a=0.10),0.8814814814814815,1.0,0.8733333333333333
