geom,m,solver,rep,n,B,F_hat,t_rep,draws_per_rep,p_zhat,p_basin,frac_Q_below_half,n_Q_below_half,min_Q,mean_Q,q10,vote_agree_zhat,vote_equals_zhat,vote_gap,votepol_equals_zhat,votepol_gap,plural_ne_zstar,zhat_ne_zstar,acc0_zhat,acc0_vote,acc0_bayes,auc_vote_share,auc_plugin,n_zhat_wrong,corr_Q_margin,n_margin_0.05,n_margin_0.1,n_margin_0.2,batch_var_ratio,batch_var_ratio_n
par,6,exact,29,200,2000,167.2856467599184,0.0003664468470763,2.3475,0.004,0.3,0.01,2,0.4855,0.7194499999999999,0.59685,0.99,False,0.0015766197552158,True,0.0,0.015,0.005,0.935,0.935,0.94,0.844097079391197,0.9103249691484986,13,0.6990061823659346,194,178,112,0.9365873977428454,194
par,6,exact,30,200,2000,176.29551177905992,0.000364935882059,2.3295,0.0005,0.1066666666666666,0.01,2,0.4775,0.707765,0.575,0.99,False,0.0021436137565711,True,-1.1102230246251563e-16,0.025,0.025,0.965,0.965,0.97,0.8915618060695781,0.9059955588452998,7,0.5616051695842115,187,170,105,1.0198494925191606,200
par,6,exact,31,200,2000,176.33651966669072,0.0003466193008495,2.3335,0.004,0.17,0.01,2,0.4755,0.71417,0.59695,0.99,False,0.0057135034210034,False,0.0010616520771007,0.0,0.01,0.91,0.92,0.92,0.889041514041514,0.9423076923076924,18,0.543681151879545,194,178,102,1.0165160038498702,199
par,6,exact,32,200,2000,154.47475560560247,0.0003552990499748,2.3385,0.002,0.6133333333333333,0.005,1,0.4965,0.7144075,0.5834,0.995,False,0.0062718885637838,True,-5.8841820305133305e-15,0.0,0.005,0.945,0.95,0.95,0.7924482924482924,0.8335738335738335,11,0.6369469809436143,187,172,112,1.1884476777911943,199
par,6,exact,33,200,2000,146.72444431790436,0.0003623742663669,2.336,0.004,0.67,0.0,0,0.5015,0.7401625,0.5885,1.0,True,-1.3322676295501878e-15,True,-1.3322676295501878e-15,0.015,0.015,0.955,0.955,0.95,0.7172774869109948,0.8452588714368819,9,0.6500062897770542,191,178,128,0.967372203343206,200
par,6,exact,34,200,2000,153.15222449129385,0.0003723049855072,2.3655,0.0035,0.2433333333333333,0.04,8,0.427,0.7075675,0.55225,0.96,False,0.0255905563439036,False,0.000797641396687,0.015,0.025,0.915,0.935,0.93,0.9210864673738348,0.9135326261652202,17,0.6373353955344274,181,163,100,1.0329220331477706,196
par,6,exact,35,200,2000,159.49145633026623,0.0003676638495754,2.2885,0.0065,0.7133333333333334,0.0,0,0.511,0.7406649999999999,0.58575,1.0,True,2.4424906541753444e-15,True,2.4424906541753444e-15,0.01,0.01,0.93,0.93,0.93,0.8915130568356375,0.9247311827956988,14,0.6700950558851355,191,177,135,0.9704227525949792,199
par,6,exact,36,200,2000,171.7776832079755,0.0003668390139931,2.3135,0.001,0.0333333333333333,0.015,3,0.489,0.70382,0.5449,0.985,False,0.0095610021173053,False,0.0001789298070258,0.025,0.01,0.915,0.9,0.925,0.8040822886531662,0.8993892639022822,17,0.6848291790167159,178,161,98,1.1889799354354016,199
par,6,exact,37,200,2000,164.34606035637614,0.0003577825322338,2.345,0.0015,0.2766666666666666,0.02,4,0.4805,0.7222624999999999,0.5974,0.98,False,0.0063099499773171,False,0.0015244008192845,0.035,0.035,0.935,0.945,0.96,0.9109419991772932,0.932538050185109,13,0.6483502978137219,188,179,117,1.123762974683158,199
par,6,exact,38,200,2000,172.76673476121192,0.0003635264132929,2.336,0.005,0.2333333333333333,0.015,3,0.458,0.7154775000000001,0.57885,0.985,False,0.0094916739328767,False,0.0001397844433548,0.005,0.01,0.92,0.925,0.92,0.8894361413043478,0.8960597826086957,16,0.7339421196999325,187,166,114,0.9904627220173372,199
par,6,exact,39,200,2000,167.42037661393772,0.0003582917731133,2.287,0.001,0.3666666666666666,0.005,1,0.499,0.7152325,0.5704,0.995,False,0.0031033644093014,True,-7.438494264988549e-15,0.0,0.005,0.94,0.945,0.945,0.9536790780141844,0.953900709219858,12,0.6480511361190477,190,173,108,1.086579501848712,199
par,6,exact,40,200,2000,175.09507844950576,0.0003588614787606,2.397,0.005,0.7,0.015,3,0.4705,0.7109875,0.57555,0.985,False,0.0100639404877178,True,-1.7763568394002505e-15,0.015,0.0,0.93,0.945,0.93,0.848310291858679,0.913978494623656,14,0.5551877250565705,186,167,103,0.99034958879283,196
par,6,exact,41,200,2000,170.2811188416107,0.0003494788355822,2.328,0.0035,0.4433333333333333,0.025,5,0.4795,0.7157800000000001,0.5852,0.975,False,0.0129728800861168,True,-8.992806499463768e-15,0.02,0.025,0.91,0.915,0.925,0.8891941391941391,0.905982905982906,18,0.7299211182321137,189,170,110,1.0857696830203645,196
