geom,m,solver,rep,B,gamma,n_margin,p_miss_emp,union_binom,union_hoeff,p_miss_all_emp
par,6,exact,10,25,0.2,77,0.0899999999999999,0.2992494575926361,1.0,0.995
par,6,exact,10,50,0.05,189,0.71,1.0,1.0,0.99
par,6,exact,10,50,0.1,170,0.38,1.0,1.0,0.99
par,6,exact,10,50,0.2,77,0.005,0.0164597897082992,0.2386313805518131,0.99
par,6,exact,10,100,0.05,189,0.31,1.0,1.0,0.99
par,6,exact,10,100,0.1,170,0.06,0.2852312538262658,1.0,0.99
par,6,exact,10,100,0.2,77,0.0,7.479895203863927e-05,0.0021349009942641,0.99
par,6,exact,10,200,0.05,189,0.0749999999999999,0.2561222082052659,1.0,0.995
par,6,exact,10,200,0.1,170,0.005,0.0133174019069681,0.1320127502882806,0.995
par,6,exact,10,200,0.2,77,0.0,3.752637083781379e-09,3.0191057601410295e-07,0.995
par,6,exact,10,400,0.05,189,0.01,0.0305330967148693,0.2225651853347754,1.0
par,6,exact,10,400,0.1,170,0.0,7.737354656890031e-05,0.0010726279637241,1.0
par,6,exact,10,400,0.2,77,0.0,3.1361849781359496e-17,1.3980134762473238e-14,1.0
par,6,exact,10,1000,0.05,189,0.0,0.0003144143191202,0.0031738530223934,1.0
par,6,exact,10,1000,0.1,170,0.0,9.141990948949559e-11,2.400485066438377e-09,1.0
par,6,exact,10,1000,0.2,77,0.0,1.666809799146774e-40,8.248104708300827e-36,1.0
par,6,exact,11,5,0.05,182,0.995,1.0,1.0,1.0
par,6,exact,11,5,0.1,167,0.9,1.0,1.0,1.0
par,6,exact,11,5,0.2,99,0.63,1.0,1.0,1.0
par,6,exact,11,10,0.05,182,1.0,1.0,1.0,1.0
par,6,exact,11,10,0.1,167,0.955,1.0,1.0,1.0
par,6,exact,11,10,0.2,99,0.575,1.0,1.0,1.0
par,6,exact,11,25,0.05,182,0.94,1.0,1.0,1.0
par,6,exact,11,25,0.1,167,0.7050000000000001,1.0,1.0,1.0
par,6,exact,11,25,0.2,99,0.0949999999999999,0.391986420852127,1.0,1.0
par,6,exact,11,50,0.05,182,0.875,1.0,1.0,1.0
par,6,exact,11,50,0.1,167,0.3249999999999999,1.0,1.0,1.0
par,6,exact,11,50,0.2,99,0.005,0.0230609639877467,0.3220548583491313,1.0
par,6,exact,11,100,0.05,182,0.645,1.0,1.0,0.995
par,6,exact,11,100,0.1,167,0.0899999999999999,0.2017798237000695,1.0,0.995
par,6,exact,11,100,0.2,99,0.0,0.0001229883567762,0.0032638921857696,0.995
par,6,exact,11,200,0.05,182,0.25,0.6464970392160896,1.0,0.985
par,6,exact,11,200,0.1,167,0.005,0.0113049211382886,0.1068003588018194,0.985
par,6,exact,11,200,0.2,99,0.0,8.504444246788734e-09,6.076997370745969e-07,0.985
par,6,exact,11,400,0.05,182,0.05,0.1488448600452701,0.943740191112632,0.955
par,6,exact,11,400,0.1,167,0.0,9.08265577081456e-05,0.0011927724483776,0.955
par,6,exact,11,400,0.2,99,0.0,1.0701644415309367e-16,4.2719694628633314e-14,0.955
par,6,exact,11,1000,0.05,182,0.0,0.0036079133223587,0.0331691333157686,0.725
par,6,exact,11,1000,0.1,167,0.0,1.8361734696808518e-10,4.6511387033351055e-09,0.725
par,6,exact,11,1000,0.2,99,0.0,8.227481630084979e-40,3.781410454517765e-35,0.725
par,6,exact,12,5,0.05,186,0.955,1.0,1.0,0.995
par,6,exact,12,5,0.1,175,0.89,1.0,1.0,0.995
par,6,exact,12,5,0.2,121,0.635,1.0,1.0,0.995
par,6,exact,12,10,0.05,186,0.99,1.0,1.0,1.0
par,6,exact,12,10,0.1,175,0.87,1.0,1.0,1.0
par,6,exact,12,10,0.2,121,0.575,1.0,1.0,1.0
par,6,exact,12,25,0.05,186,0.92,1.0,1.0,0.995
par,6,exact,12,25,0.1,175,0.5900000000000001,1.0,1.0,0.995
