part,cell,K,n,eps,m,rep,method,n_out,acc_clean,ari_clean,perr,alpha_hat,time,p_clean_sub
a,K2-cross,2,300,0.05,8,31,TA-rw(oracle),16,0.926056338028169,0.7251292474971933,0.0802115104372107,0.0766666666666666,0.0481595888268202,0.6634204312890623
a,K2-cross,2,300,0.05,8,31,TA-rw(0.25),16,0.9225352112676056,0.7131357426610998,0.0801738667356593,0.0666666666666666,0.0486089498735964,0.6634204312890623
a,K2-cross,2,300,0.05,8,31,TA-rw(0.40),16,0.9225352112676056,0.7131357426610998,0.0801738667356593,0.0666666666666666,0.0497672699857503,0.6634204312890623
a,K2-cross,2,300,0.05,8,31,bestB-trim(0.25),16,0.9154929577464788,0.6894424565586885,0.3350877438667877,,0.029013292863965,0.6634204312890623
a,K2-cross-leverage,2,300,0.0,8,19,HA50,0,0.92,0.7046142544820168,0.1098952775805823,,0.0095850969664752,1.0
a,K2-cross-leverage,2,300,0.0,8,19,emEM10,0,0.9066666666666666,0.6603837389255393,0.1042834249820846,,0.0073585989885032,1.0
a,K2-cross-leverage,2,300,0.0,8,19,vote,0,0.92,0.7046156454141645,0.1009028096483644,,0.0362713648937642,1.0
a,K2-cross-leverage,2,300,0.0,8,19,median,0,0.9166666666666666,0.69342076007067,0.1313042645566802,,0.0360687321517616,1.0
a,K2-cross-leverage,2,300,0.0,8,19,adapt,0,0.92,0.7046142544820168,0.1250717342491154,0.0133333333333333,0.0472149569541215,1.0
a,K2-cross-leverage,2,300,0.0,8,19,adapt-sel,0,0.92,0.7046142544820168,0.1250717342491154,0.0133333333333333,0.041723835049197,1.0
a,K2-cross-leverage,2,300,0.0,8,19,adapt-lam0,0,0.92,0.7046142544820168,0.1250717342491154,0.0133333333333333,0.0437558849807828,1.0
a,K2-cross-leverage,2,300,0.0,8,19,adapt-1st,0,0.92,0.7046142544820168,0.1250717342491154,0.0133333333333333,0.0338278550188988,1.0
a,K2-cross-leverage,2,300,0.0,8,19,TA-rw(oracle),0,0.92,0.7046142544820168,0.1250717342491154,0.0133333333333333,0.0626944459509104,1.0
